Epoch,Loops,Broken,Success,NumPeers,Started,StopPending,MeanHops
1,0,168,14,14,14,13,1.00
2,0,348,32,20,20,13,1.19
3,0,713,343,33,33,13,2.46
4,0,783,623,38,38,13,2.91
5,0,1050,842,44,44,13,2.93
6,0,870,1292,47,47,13,3.57
7,0,725,1725,50,50,13,4.20
8,0,611,2359,55,55,13,4.22
9,0,50,3030,56,56,13,4.61
10,0,173,3133,58,58,13,4.56
11,0,485,3547,64,64,13,4.48
12,0,191,4099,66,66,13,4.63
13,0,110,4446,68,68,13,4.52
14,0,69,4623,69,69,13,4.56
15,0,29,4663,69,69,13,4.55
16,0,241,4729,71,71,13,4.53
17,0,120,4992,72,72,13,4.51
18,0,34,5078,72,72,13,4.54
19,0,102,4868,71,72,12,4.52
20,0,155,4957,72,73,12,4.54
21,0,36,5076,72,73,12,4.55
22,0,6,5106,72,73,12,4.58
23,0,208,5194,74,75,12,4.54
24,0,56,5346,74,75,12,4.50
25,0,5,5397,74,75,12,4.53
26,0,0,5402,74,75,12,4.54
27,0,0,5402,74,75,12,4.54
28,0,11,5245,73,75,11,4.50
29,0,0,5256,73,75,11,4.51
30,0,0,5256,73,75,11,4.51
31,0,0,5256,73,75,11,4.51
32,0,0,5256,73,75,11,4.51
33,0,120,4992,72,75,10,4.46
34,0,78,5034,72,75,10,4.46
35,0,0,5112,72,75,10,4.49
36,0,0,5112,72,75,10,4.49
37,0,78,4892,71,75,9,4.48
38,0,41,4929,71,75,9,4.49
39,0,0,4970,71,75,9,4.51
40,0,0,4970,71,75,9,4.51
41,0,0,4970,71,75,9,4.51
42,0,0,4970,71,75,9,4.51
43,0,0,4970,71,75,9,4.51
44,0,0,4970,71,75,9,4.51
45,0,0,4970,71,75,9,4.51
46,0,78,4752,70,75,8,4.48
47,0,61,4769,70,75,8,4.48
48,0,22,4808,70,75,8,4.50
49,0,0,4830,70,75,8,4.51
50,0,0,4830,70,75,8,4.51
51,0,0,4830,70,75,8,4.51
52,0,0,4830,70,75,8,4.51
53,0,0,4830,70,75,8,4.51
54,0,0,4830,70,75,8,4.51
55,0,0,4830,70,75,8,4.51
56,0,0,4830,70,75,8,4.51
57,0,0,4830,70,75,8,4.51
58,0,0,4830,70,75,8,4.51
59,0,0,4830,70,75,8,4.51
60,0,0,4830,70,75,8,4.51
61,0,0,4830,70,75,8,4.51
62,0,1,4691,69,75,7,4.46
63,0,1,4691,69,75,7,4.46
64,0,0,4692,69,75,7,4.46
65,0,0,4692,69,75,7,4.46
66,0,0,4692,69,75,7,4.46
67,0,0,4692,69,75,7,4.46
68,0,0,4692,69,75,7,4.46
69,0,0,4692,69,75,7,4.46
70,0,0,4692,69,75,7,4.46
71,0,0,4692,69,75,7,4.46
72,0,0,4692,69,75,7,4.46
73,0,282,4274,68,75,6,4.33
74,0,257,4299,68,75,6,4.34
75,0,24,4532,68,75,6,4.41
76,0,0,4556,68,75,6,4.44
77,0,218,4204,67,75,5,4.39
78,0,176,4246,67,75,5,4.39
79,0,27,4395,67,75,5,4.44
80,0,0,4422,67,75,5,4.47
81,0,0,4422,67,75,5,4.47
82,0,0,4422,67,75,5,4.47
83,0,22,4268,66,75,4,4.47
84,0,22,4268,66,75,4,4.47
85,0,0,4290,66,75,4,4.48
86,0,0,4290,66,75,4,4.48
87,0,0,4290,66,75,4,4.48
88,0,0,4290,66,75,4,4.48
89,0,141,4019,65,75,3,4.47
90,0,137,4023,65,75,3,4.48
91,0,23,4137,65,75,3,4.53
92,0,0,4160,65,75,3,4.55
93,0,0,4160,65,75,3,4.55
94,0,0,4160,65,75,3,4.55
95,0,0,4160,65,75,3,4.55
96,0,0,4160,65,75,3,4.55
97,0,0,4160,65,75,3,4.55
98,0,0,4160,65,75,3,4.55
99,0,0,4160,65,75,3,4.55
100,0,0,4160,65,75,3,4.55
101,0,0,4160,65,75,3,4.55
102,0,0,4160,65,75,3,4.55
103,0,0,4160,65,75,3,4.55
104,0,0,4160,65,75,3,4.55
105,0,0,4160,65,75,3,4.55
106,0,0,4160,65,75,3,4.55
107,0,274,3758,64,75,2,4.41
108,0,178,3854,64,75,2,4.43
109,0,6,4026,64,75,2,4.57
110,0,0,4032,64,75,2,4.57
111,0,0,4032,64,75,2,4.57
112,0,0,4032,64,75,2,4.57
113,0,0,4032,64,75,2,4.57
114,0,0,4032,64,75,2,4.57
115,0,0,4032,64,75,2,4.57
116,0,0,4032,64,75,2,4.57
117,0,0,4032,64,75,2,4.57
118,0,0,4032,64,75,2,4.57
119,0,0,4032,64,75,2,4.57
120,0,0,4032,64,75,2,4.57
121,0,0,4032,64,75,2,4.57
122,0,0,4032,64,75,2,4.57
123,0,0,4032,64,75,2,4.57
124,0,0,4032,64,75,2,4.57
