Epoch,Loops,Broken,Success,NumPeers,Started,StopPending,MeanHops
1,0,249474,26,46,46,0,1.00
2,0,249380,120,77,77,0,1.00
3,0,249088,412,110,110,0,1.44
4,0,248306,1194,145,145,0,2.26
5,0,246798,2702,167,167,0,3.27
6,0,244787,4713,196,196,0,4.09
7,0,240646,8854,228,228,0,4.90
8,0,233170,16330,251,251,0,6.15
9,0,222908,26592,276,276,0,6.91
10,0,210048,39452,295,295,0,7.69
11,0,191947,57553,317,317,0,8.76
12,0,178430,71070,328,328,0,9.18
13,0,166015,83485,348,348,0,9.55
14,0,156660,92840,358,358,0,9.73
15,0,143797,105703,368,368,0,9.76
16,0,133339,116161,379,379,0,9.73
17,0,119013,130487,388,388,0,9.81
18,0,110172,139328,400,400,0,9.83
19,0,100336,149164,406,406,0,9.89
20,0,94754,154746,409,409,0,9.87
21,0,90056,159444,415,415,0,9.88
22,0,85963,163537,423,423,0,9.79
23,0,81069,168431,428,428,0,9.79
24,0,77703,171797,430,430,0,9.72
25,0,74021,175479,438,438,0,9.70
26,0,69670,179830,446,446,0,9.65
27,0,62967,186533,455,455,0,9.65
28,0,57192,192308,458,458,0,9.60
29,0,52174,197326,460,460,0,9.58
30,0,48956,200544,465,465,0,9.52
31,0,43994,205506,471,471,0,9.50
32,0,38948,210552,473,473,0,9.52
33,0,33524,215976,477,477,0,9.55
34,0,30651,218849,478,478,0,9.57
35,0,27314,222186,480,480,0,9.58
36,0,25536,223964,482,482,0,9.57
37,0,23282,226218,482,482,0,9.59
38,0,22228,227272,483,483,0,9.58
39,0,20869,228631,484,484,0,9.59
40,0,19670,229830,487,487,0,9.57
41,0,18050,231450,489,489,0,9.58
42,0,16482,233018,491,491,0,9.54
43,0,14683,234817,491,491,0,9.54
44,0,13940,235560,491,491,0,9.52
45,0,13163,236337,491,491,0,9.53
46,0,12578,236922,491,491,0,9.52
47,0,11979,237521,492,492,0,9.53
48,0,11174,238326,492,492,0,9.52
49,0,10273,239227,493,493,0,9.52
50,0,9684,239816,493,493,0,9.52
51,0,8925,240575,494,494,0,9.52
52,0,8399,241101,494,494,0,9.53
53,0,7216,242284,495,495,0,9.52
54,0,6955,242545,495,495,0,9.52
55,0,6124,243376,495,495,0,9.52
56,0,6032,243468,496,496,0,9.53
57,0,4997,244503,497,497,0,9.52
58,0,4296,245204,497,497,0,9.52
59,0,3834,245666,498,498,0,9.52
60,0,3383,246117,498,498,0,9.52
61,0,2943,246557,498,498,0,9.52
62,0,2876,246624,498,498,0,9.52
63,0,2728,246772,498,498,0,9.52
64,0,2649,246851,498,498,0,9.51
65,0,2502,246998,498,498,0,9.51
66,0,2448,247052,498,498,0,9.51
67,0,2310,247190,498,498,0,9.51
68,0,2170,247330,499,499,0,9.51
69,0,1689,247811,499,499,0,9.52
70,0,1604,247896,499,499,0,9.52
71,0,1526,247974,499,499,0,9.53
72,0,1478,248022,499,499,0,9.53
73,0,1428,248072,499,499,0,9.53
74,0,1375,248125,499,499,0,9.53
75,0,1243,248257,500,500,0,9.53
76,0,839,248661,500,500,0,9.53
77,0,659,248841,500,500,0,9.52
78,0,595,248905,500,500,0,9.52
79,0,533,248967,500,500,0,9.52
80,0,484,249016,500,500,0,9.52
81,0,406,249094,500,500,0,9.52
82,0,354,249146,500,500,0,9.52
83,0,285,249215,500,500,0,9.52
84,0,228,249272,500,500,0,9.52
85,0,152,249348,500,500,0,9.52
86,0,109,249391,500,500,0,9.52
87,0,50,249450,500,500,0,9.52
88,0,38,249462,500,500,0,9.52
90,0,1,249499,500,500,0,9.52
101,0,0,249500,500,500,0,9.52
